Query,RR,AP@N,P@N,Recall@N,Cut
1,1.0,0.9626543209876544,0.9,0.0141287284144427,10
2,0.3333333333333333,0.3604166666666666,0.4,0.012738853503184714,10
3,0.5,0.6226190476190476,0.5,0.007961783439490446,10
4,0.0,0.0,0.0,0.0,10
5,0.3333333333333333,0.594047619047619,0.6,0.009771986970684038,10
6,1.0,1.0,0.9,0.009384775808133473,10
7,1.0,1.0,1.0,0.02079002079002079,10
8,1.0,0.6071428571428572,0.4,0.006329113924050633,10
9,1.0,0.7440476190476192,0.7,0.03664921465968586,10
10,1.0,0.6756802721088436,0.7,0.014736842105263158,10
11,1.0,0.9333333333333332,0.6,0.014457831325301205,10
12,0.25,0.25,0.2,0.003246753246753247,10
13,0.25,0.25,0.2,0.002306805074971165,10
14,1.0,0.8412257495590829,0.9,0.03529411764705882,10
15,1.0,0.5873015873015873,0.3,0.0070921985815602835,10
16,1.0,0.9484126984126983,0.6,0.015503875968992248,10
17,1.0,0.9085317460317459,0.8,0.011976047904191617,10
18,1.0,0.8385912698412697,0.8,0.012738853503184714,10
19,1.0,0.8142857142857143,0.5,0.04504504504504504,10
20,1.0,1.0,0.9,0.01282051282051282,10
-,0.8245614035087719,0.733594236915039,0.6263157894736843,0.015419650564869842,10
